Profile_Name,Rating_Star,Headings,Base_Reviews,Unnamed: 4,category
Shadieh Mirmobiny,1.0 out of 5 stars,crashes when calling,horrible... it crashes too much and crashes during calls. then sometimes never loads messages when I'm on pc skype. it bugs me so much and it takes a long time to load messages. i say this app is not recommended.,,Performance and Stability
lauren,1.0 out of 5 stars,sorely disappointed,"To be honest, the fact that this app constantly crashes and drops calls makes me disappointed that Amazon nor Microsoft will work on fixing this. Thanks for nothing. ÃÂ¢Ã¢ÂÂ¢ÃÂ¥ÃÂ¢Ã¢ÂÂ¢ÃÂ¥ÃÂ¢Ã¢ÂÂ¢ÃÂ¥ÃÂ¢Ã¢ÂÂ¢ÃÂ¥ÃÂ¢Ã¢ÂÂ¢ÃÂ¥ÃÂ¢Ã¢ÂÂ¢ÃÂ¥ÃÂ¢Ã¢ÂÂ¢ÃÂ¥",,Performance and Stability
AmberH,1.0 out of 5 stars,Aggravated,"I have this app on my kindle fire, it has updated itself and is now horrible, it freezes, closes and runs horribly slow. I loved the old app before it updated itself, would love to know how to get the old version back! This one is driving me crazy!",,Performance and Stability
JFig,1.0 out of 5 stars,Too many bugs deserves 0/5,"This app crashes several times a call and is constantly readjusting the screen every 15-20 seconds. Makes even a ten minute video call impossible. Super frustrating, I usually end up switching to my iPhone or MacBook pro to skype family. Love skype hate this app. Needs to be fixed severely.",,Performance and Stability
B.C.,1.0 out of 5 stars,too many problems,"So many problems. First, the user screen sometimes disappears behind the larger screen and theres no way to bring it back. The small screen also Freezes and glitches occasionally. And lastly, when someone calls and i open my kindle to answer, skype errors and shuts down EVERYTIME.",,Performance and Stability
GHOST RIDER,1.0 out of 5 stars,WISH I COULD GIVE GREAT COMMENT,I HAD TAKE SKYPE OFF MY KINDLE BECAUSE CUSTOMER SERVICE SAID DIDN'T SUPPORT ANYMORE! WISH IT WOULD!. SO I CAN NOT REALLY GIVE A GOOD COMMENT. BUT IF THIS ADD ON KINDLE THAT APPEARED AND IT'S A COMBACK! I'D GO E 5 STARS!!!,,Customer Support and Responsiveness
Amazon Addict,1.0 out of 5 stars,kindle fire hd,"This app started out fine when I got it the beginning of last year, 2013. Then it began to get glitchy and hang up calls. Now with the new update. It completely freezes my kindle and lags internet chat. I've had to factory reset. I hope skype fixes the issue app .",,Performance and Stability
rootbear75,3.0 out of 5 stars,overheating issues,Causes my kindle fire HD to overheat and crash after about 7 minutes of a video call.... just end up using my phone because it doesn't crash in the middle of a call like this one....,,Performance and Stability
Jay ross,1.0 out of 5 stars,SKYPE UPDATE SUCKS,SINCE THE LATEST UPDATE IT KEEPS CRASHING I ANSWER A CALL THEN BLACK SCREEN WORKED FOR A MINUTE THEN CRASHED FIX THIS NOW AMAZON I BOUGHT YOUR TABLET WICH IS APP RESTRICTIVE ENOUGH U HAVE NO APPS I WANT BESIDES SKYPE WICH I USE TO TALK TO MY FIANCEE SINCE I'M OUT OF TOWN FIX THIS NOW,,Performance and Stability
Rihanna Wallace,1.0 out of 5 stars,Update Ruined Skype,"Since Skype has been updated I've faced a bunch of problems. One problem is that the volume is high, it doesn't matter if I put the volume on zero I can still hear the person on the other line loudly. Another problem that I have is that as soon as you click on the app it signs in automatically. If someone was to click on my Skype they would be able to access my messages and contacts immediately.  I want my privacy. Another problem is that it continuously crashes for no apparent reason. One minutes it's working and the next it's sending you a message that says ""Skype is not responding would you like to close it"" if you say yes it closes and if you don't the message will continue to pop up. Before the update I also noticed that Skype would just hang up my calls and I thought it was my internet connection but after reading numerous reviews I realize that I'm not the only one with this problem. Skype needs to be fixed immediately. The company should fix all the glitches before putting it back in the Appstore.",,Performance and Stability
Christine,3.0 out of 5 stars,New update,Some people say they have a big problem with the new update but I haven't been having any trouble with it accept it is very slow. It even happens in the best WiFi.,,Performance and Stability
Torpedo,1.0 out of 5 stars,unbelievably bad update,"If you have an older version of Skype, keep it. The newer version/update is absolutely awful. No way to control the volume, and it constantly crashes. I've written to Amazon, but they continue to make it available in prominent position in their app store. DON'T DOWNLOAD IT!",,Performance and Stability
rapture1234,1.0 out of 5 stars,Fix Skype!!!!!,I just got the update for Skype and now it crashes every time I try and make a call to someone. Before the update it worked fine this needs to be fixed,,Performance and Stability
CB,1.0 out of 5 stars,Really??,This app crashes non-stop! Often times it simply REFUSES to work!! I can't even log in!! I have to re-download the app numerous times if I ever want to get anything done!!!,,Performance and Stability
Matthew S,2.0 out of 5 stars,Skype is no worse on my Fire than it is anywhere else.,It is a shame that it is bad on every platform these days!,,Compatibility and Device Issues
Angie Burnside,3.0 out of 5 stars,Need more work!!!!!,This app has a lot of potential but it freezes too much and shut down alot too but overall a great idea for a free call and texting app,,Performance and Stability
Brandy,1.0 out of 5 stars,One Star,"Ad heavy, crashes",,Performance and Stability
Renate Dietrich,1.0 out of 5 stars,Unsafe for kids!,"I am appalled that Amazon would put this on the kindle fires which are intended for children. My kids never downloaded it, yet it showed up on their kindled. How is this in any remote way safe for kids to chat with someone they don't know??? I took my kids kindles away because of apps like this... I was informed by Amazon that this app comes with the device automatically so my kids didn't have to download it.",,Compatibility and Device Issues
Kmfb,3.0 out of 5 stars,Slow but ok,Slow but ok,,Performance and Stability
MiKe n ike,3.0 out of 5 stars,"Was good at first, but...","When I first got the app i loved it. The calling feature was great and even though there were lots of ads the app ran smoothly. Then after about a week it went downhill. When I send texts, it sends them multiple times, and I used to be able to send pictures and videos but now whenever I try the app crashes. It takes about 40 seconds to 1 min for a text to send now, and it just keeps getting slower and more glitchey. I would not recommend this app ÃÂ°ÃÂ¸Ã¢ÂÂÃÂ½",,Performance and Stability
Mary J Fowler,3.0 out of 5 stars,TextMe,It's okay but a bit confusing until you get use to the idea you are not on a cell phone doing the texting.It will probably be fine once I have all the information in there as I assumed it would pull all the phone numbers along with everything else when I did the setup and it did not.,,User Interface and UX
pcpow,2.0 out of 5 stars,no support for epson xp400,"looked like it was going to work, but then could not find epson xp400 in list of supported printers.: (",,Customer Support and Responsiveness
Tim Scott,2.0 out of 5 stars,Uninstalled almost straight away.,Didn't function so uninstalled,,Functionality and Features
Sandra Mary Cetta,1.0 out of 5 stars,Useless,I tried this ap before buying the full version. It does not support my printer (Samsung ML2165 series) very disappointed.removed,,Customer Support and Responsiveness
JenT,1.0 out of 5 stars,No good,Not compatible and really hard to set up. Gave up and uninstalled in the end.,,Compatibility and Device Issues
Jr. Carrp,2.0 out of 5 stars,Not very useful for remote surveillance,Has to be in same WiFi network.  Not very useful for remote surveillance.  It's free though.,,Functionality and Features
Android,2.0 out of 5 stars,Oh Dear?,"I liked the look of the camera, and it did give me a picture, the main problem was it would not record to the memory card that I paid extra for! found the set up fiddly and not straight forward, spent many hours over the week I had it with various issues, emailed the support help and they were first class and really prepared to hold my hand and help, but sadly I got to the point that was, when technology works out of the box it is lovely and you are just impressed and happy but when it just fails to work they way it should it just irritates and frustrates, so sent it back!",,Customer Support and Responsiveness
Jayson,1.0 out of 5 stars,Good idea just not perfected,"I donÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t like the quality overall. Also, it freezes a lot and then kicks back to home screen. Will be canceling.",,Performance and Stability
Kim,1.0 out of 5 stars,... it just shows the pause button - not much good for the dogs if its not working,Freezes all the time and doesn't come back on so when I get home it just shows the pause button - not much good for the dogs if its not working.,,Performance and Stability
Amazon Customer,1.0 out of 5 stars,Entire app is an ad for itself,not function this app,,Functionality and Features
Peggy,1.0 out of 5 stars,Sick and thin looking dog not good,"Only watched the first 5 minutes,  saw an extremely thin, sick looking labrador...didn't want to support animal neglect. No noises to make my dog even look at the telly.",,Customer Support and Responsiveness
Shahram Haghjoo,2.0 out of 5 stars,Research before you buy it!,"Not compatible with certain televisions and certain channels would not allow you to stream because of exclusivity, Research before you buy it!",,Compatibility and Device Issues
Walter Andrews,1.0 out of 5 stars,No good- sorry,No goodÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ customer service is no goodÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂsoftware no good,,Customer Support and Responsiveness
Jenny K.,1.0 out of 5 stars,Slow,Didn't work for me. Super slow to get it started and super laggy. No thanks. Would rather just watch on my phone.,,Performance and Stability
Bert,3.0 out of 5 stars,Not perfect,"As reported previously, no audioNot a problem if you have a Bluetooth speakerHowever, as also reported, the video lags, creating image distortion and audio lag which is not a problem for short videos but would be hell if trying to view a movie or other lengthy videoOverall, mehIt did what I wanted",,Performance and Stability
Jerry T,2.0 out of 5 stars,Save your money.,Keeps crashing. Picture quality is only fair.,,Performance and Stability
Diane,3.0 out of 5 stars,No sound on tv,The only complaint I have is this product doesnÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t yet support sound on the tv.,,Customer Support and Responsiveness
Angie M. Nunley,1.0 out of 5 stars,meh,Not applicable on all devices.,,Compatibility and Device Issues
Jose A. Castro,2.0 out of 5 stars,Freezes,It constantly freezes. Screen in TV cannot be opened wider for better view.,,Performance and Stability
Jasmyn Beyer,1.0 out of 5 stars,does not work,very dissatisfied with this purchase- not compatible with my devices,,Compatibility and Device Issues
Steve Binkley,1.0 out of 5 stars,This app sucks,This app sucks. Spent last 30 mins trying to get it to work with a new fire TV and it continually freezes and will not display. I am trying to find out how to get a refund. Complete crap,,Performance and Stability
Pavel Elias,1.0 out of 5 stars,Mediocre software. Poor picture quality and responsiveness,"It does work, but very poor quality and response to the picture transmission is delayed. Not a good stuff.",,Customer Support and Responsiveness
Derrin ho,1.0 out of 5 stars,David,"Slow, useless removed",,Performance and Stability
Brown Sugar,1.0 out of 5 stars,Antiquated,All Smart TVs come with this feature,,Functionality and Features
alan glenn,1.0 out of 5 stars,Good thing it was free,Freezes more often than not.  Picture quality is not great.,,Performance and Stability
Romer B.,1.0 out of 5 stars,I donÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t understand,I donÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t know to this app is for pay.... your function is very simple I am not understand to pay for the service but the other apps is the same.!!,,Functionality and Features
yagas,1.0 out of 5 stars,No audio,Video lags and no audio on tv,,Performance and Stability
Marcy,1.0 out of 5 stars,ok,It doesn't work and is not compatible unless with exact brand product,,Compatibility and Device Issues
Susan from Tallahassee,1.0 out of 5 stars,Freezes,"It freezes after about 10 minutes so it doesnÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t work ÃÂ°ÃÂ¸Ã¢ÂÂ¢Ã¯Â¿Â½",,Performance and Stability
J.J.,1.0 out of 5 stars,Was hoping for more...,"Kind of disappointed but itÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s a free app, so IÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢m not very. Choppy and laggy. Resolution is very poor compared to the device IÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢m attempting to mirror. No audio. Was hoping to watch a movie from my iPad on my tv. Not so much.",,Performance and Stability
Mur-diculous,1.0 out of 5 stars,No ios. No beuno,Not compatible with ios. Basically worthless,,Compatibility and Device Issues
Garland Jones,1.0 out of 5 stars,Screen mirror app,"The app did somewhat of what it was made to do. However, the delay between the phone and the app itÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s self is extremely delayed. ItÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s not my internet because I can stream 4K movies on two devices without bufferin.",,Compatibility and Device Issues
Mr. Young,1.0 out of 5 stars,"Meh, can live without it",Freezes up when trying to stream Oculus. Not worth a very good app.,,Performance and Stability
Chane john,1.0 out of 5 stars,Glad its free,Doesn't work.. freezes up,,Performance and Stability
Laura,2.0 out of 5 stars,Sub-par mirroring app,"A couple of issues with this app. First, it doesnÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t allow sound from the device being mirrored. So when I play something from my phone and mirror it to my tv, the sound comes from the phone... kind of annoying. The other big issue is that it will mirror for about an hour of playtime, then shuts down and you have to open your app again to being replaying. I wouldnÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t have bought it had I know about these issues.",,Compatibility and Device Issues
Amazon Customer,2.0 out of 5 stars,Poor handling of video,Displayed video from iPhone 8. Picture was blocky and video was jerky and slow.,,Performance and Stability
Amazon Customer,2.0 out of 5 stars,No worth it. Apple TV mirror better,Said no lag time but It did.,,Performance and Stability
ojitos,1.0 out of 5 stars,Useless not compatible with devices,Useless not compatible with devices it said,,Compatibility and Device Issues
sstar1483,2.0 out of 5 stars,Not worth it.,"Setup was rough, it kept freezing and the lag was ridiculous.",,Performance and Stability
Dr. Kamuela,1.0 out of 5 stars,DonÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t Bother,Does not function easily between devices; difficult to use!,,Functionality and Features
Justin Mazey,1.0 out of 5 stars,"Slow with Ads, slow without Ads","Extreamly slow. It worked just as slow as the free version, the only difference was it did not have ads. I am completely unsatisfied.",,Performance and Stability
tom blumena,1.0 out of 5 stars,Would not connect iPhone to Fire Stick,Would not connect iPhone to Fire Stick after rebooting both devices and troubleshooting any other issues. DonÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t waste your money!,,Compatibility and Device Issues
Amazon Customer,1.0 out of 5 stars,App freezes,The app freezes and one must tolerate frequent interruptions from ADWARE.,,Performance and Stability
SL,2.0 out of 5 stars,Maybe bad internet,Maybe itÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s my internet but it lags on me,,Performance and Stability
Liangbi Mei,2.0 out of 5 stars,No sound,Slow,,Performance and Stability
Marissa,1.0 out of 5 stars,Lagged,The application lagged a lot,,Performance and Stability
Dustin,1.0 out of 5 stars,junk,to slow,,Performance and Stability
Amazon Customer,1.0 out of 5 stars,Not,Unable to mirror from my device.,,Compatibility and Device Issues
melvin bautista,1.0 out of 5 stars,Got ripped off.,Lag on audio.,,Performance and Stability
Christine Luna,1.0 out of 5 stars,Doesn't work!,Kids downloaded this and of course it didn't work. It would have been a good app if it was actually functional.,,Functionality and Features
KM,1.0 out of 5 stars,#Stupid,I wouldn't let my dog use this app. It was absolutely horrible and useless... Thanks for waisting space on my device....,,Compatibility and Device Issues
mitchel r. abernathy,1.0 out of 5 stars,this app sucks,"This app doesn't work and it I suspect slow I needs major work, and it won't even delete on my kindle it says 0.00 storage and it still shows up on the home page it gets soo old omg WARNING: DONT DOWNLOAD IT SUCKS!!!!!",,Performance and Stability
MzPisces,2.0 out of 5 stars,Two Stars,Limited features with basic download,,Functionality and Features
Timothy G.,1.0 out of 5 stars,DO NOT GET!!!!!!!,"This game keeps gliching.my device, also, it's not a face filter it's a photo editor, graphics are also very bad, THIS SUCKS!!!!!!!DO NOT GET!!!!",,Compatibility and Device Issues
Mrs W.,2.0 out of 5 stars,Two Stars,Didn't find this useful. Deleted,,Functionality and Features
Amazon Customer,3.0 out of 5 stars,For me itÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s confusing,For me itÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s confusing,,User Interface and UX
gotcha6,1.0 out of 5 stars,Don't waste your money or time on this free app.,"Although the product will allow one to draw shapes and walls with their smartphone, the limited screen size prohibits adding much detail. Add to that the fact that everything is calibrated in metric units and the app is almost as useful as a piece of graph paper and a straightedge, which is what I'll be using instead.  If I could get it to load to my notepad or even my desktop AND WORK IN ENGLISH UNITS then I would be willing to pay for this.  As it is, using it on a smartphone is like building a ship in a bottle with ice tongs.",,Functionality and Features
LESLIE ROBLES,1.0 out of 5 stars,One Star,makes my kindle freeze and crash repeadedly,,Performance and Stability
Acheshi1168,1.0 out of 5 stars,Hard to get the hang of,Very confusing to use,,User Interface and UX
Elainetx,2.0 out of 5 stars,Difficult at best,It would take some time to get usefulness from application....hard to move around ..but willing to stay at it...nice feel and look,,Functionality and Features
Erik,3.0 out of 5 stars,Ok-but not inuitive,Not a very intuitive and difficult to navigate and change overall floor plans. Additional help under tutorial would be helpful.,,User Interface and UX
Kindle Customer,3.0 out of 5 stars,Need help!,"I used this app, which was great, but the plan I made now shows up as a picture but not in the app itself.  Now I can't edit it anymore.  Plus I paid the $5 plus to get rid of the watermark and delete the ads, but when I go back to the app not only is my plan not available but I have ads again.  Either I can't figure out how to use the help section or there's not much to it.  I really enjoyed using it but really need help resolving the above issues and I can't locate info on how to contact the creator except for rating it.  PLEASE let me know how to fix this!  I put a good deal of time into this already and don't want to lose my work.  I also don't want to have to pay for the watermark/ads feature to be removed again!",,Functionality and Features
Jude Joseph Lovell,3.0 out of 5 stars,Need to Read,This game is really interesting. It's a really creative idea. I think it could be a fun thing to play. Warning: This game is very very very very  confusing and frustrating. I would try out the game and see if you like it. If you do great. If you don't that's okay.,,User Interface and UX
bob,2.0 out of 5 stars,8 people found this helpful,Not the best i've seen but good enough.it's a bit confusing to be honest.ÃÂ°ÃÂ¸ÃÃÂ²,,User Interface and UX
Anonnymous bad speller,1.0 out of 5 stars,3 people found this helpful,"Fiddly and awkward to use, full of 'pay to access this feature' and missing basic shapes and furniture",,Functionality and Features
Barefoot,1.0 out of 5 stars,No actual timer functions,I thought this was a countdown timer. I could not figure out a way to set a time so that this could be useful to me. This app has been absolutely pointless.,,Functionality and Features
jbtille,1.0 out of 5 stars,Not what I thought it would be,Missed my expectations by a mile!! Deleted app within minutes of investigating its lack of use  DoesnÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t seem to sync to deviceÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s clock,,Compatibility and Device Issues
JMA,3.0 out of 5 stars,Three Stars,useful,,Functionality and Features
Mikey Vallen,1.0 out of 5 stars,Does NOT tell time. It's just ridiculous.,I don't understand why this app was even made... what?!?!  It's completely useless and offers no functionality whatsoever.  This is NOT A CLOCK... I'm not sure what to call this (other than pointless and ridiculous) but it does not tell time.,,Functionality and Features
Elliot Fletcher,1.0 out of 5 stars,Disappointing,Bright but a little pointless and confusing. Can't use other apps with it.,,User Interface and UX
Peter Chesnutt,1.0 out of 5 stars,I wish this would work.,This app will not work with Chromecast. It would be nice if a modified Android device (like what the Kindle Fire is) would actually talk with other Android devices. But no-Amazon doesnÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t play well with others. I can download Google Home on my iPhone and get Chromecast to work all day long. There doesnÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t appear to be a viable Amazon solution.,,Compatibility and Device Issues
Patrick Picciano,1.0 out of 5 stars,No chance to use it,I never used it. CouldnÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t get the device to work,,Compatibility and Device Issues
Marc D,1.0 out of 5 stars,Waste Of Time,"Downloaded app from the Amazon App Store, went to used it to use it and got the message that it wasn't compatible with my device",,Compatibility and Device Issues
Jerry,1.0 out of 5 stars,No useable,Not what I expected. Wanted to use it from my Kindle Fire for Google play. Not compatible,,Compatibility and Device Issues
Keonna R.,1.0 out of 5 stars,Cast manager app,This app you will never find on Roku or anything like that you want me to find it on Chromecast this app is bad it does not cast to anything no matter which way you turn it will not cast nothing nothing and do nothing I wouldn't do it if anybody else I don't recommend it you'll be wasting your space on your device by doing it,,Compatibility and Device Issues
Mishka,1.0 out of 5 stars,DonÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t download,Waste of time doesnÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t work with streaming service only if you have media downloaded on your device,,Compatibility and Device Issues
Fred R.,1.0 out of 5 stars,Did not work.,"total waste of time downloading.I tried several times with videos, pictures, and music. the only information displayed was that no device existed (actually it said exits rather than exists) .",,Compatibility and Device Issues
S. Gallo,1.0 out of 5 stars,Worthless,No support for chromecast,,Customer Support and Responsiveness
Mreiko,1.0 out of 5 stars,Can't make it work but try it for yourselves. I am not a techie.,I'm trying to make my Kindle cast to my tv using a Chromecast device.  This app did not work at all.  But it was free so no harm no foul.,,Compatibility and Device Issues
lori ann terrell,1.0 out of 5 stars,Not compatible,I'mSure it works fine.  Wasn't compatible with what I was using,,Compatibility and Device Issues
Amazon Customer,1.0 out of 5 stars,Terrible customer service,I purchased a 'T' shirt and it arrived all blotchy and unreadable.  I returned it and the replacement was just as defective as the first one.  Doesn't anybody LOOK at this stuff anymore?  Terrible customer service.,,Customer Support and Responsiveness
Allmetalkings,3.0 out of 5 stars,Don't use if using a chromecast dongle,Had to remove it as wasn't compatible with chromecast. Wanted it to play a movie from amazon prime from a fire tablet but didn't work. Used the phone instead.,,Compatibility and Device Issues
safetyguy,1.0 out of 5 stars,Completely useless - don't bother,"Ok,so how does it cast? There's no cast icon, no way to connect to the device that I want to cast to so  I'm dumping this as I find it's useless!  ItAs.it does mornin but check out all of your files, I'm wondering if it is malware",,Compatibility and Device Issues
siarad,1.0 out of 5 stars,Useless,Fails to work on Amazon Fire Tablet-complains of something missing.Only wanted it because 'screen cast' is missing from the tablet.,,Functionality and Features
MB,2.0 out of 5 stars,Not compatible to fire  hd  7,Not compatible with fire hd 7.  I guess it is really a flaw/ drawback of the fire tablet.,,Compatibility and Device Issues
MonetRos,1.0 out of 5 stars,Bad-- continual error messages,Bad-- continual error messages. Does not work. Can't use it. Waste of time downloading it. Another failure by amazon  To screen mirror fire tablet to fire stick. I had the mirror functionality years ago when I bought my tablet. But amazon in their crazy wisdom decided to remove it keep To screen mirror fire tablet to fire stick. I had the mirror functionality years ago when I bought my tablet. But amazon in their crazy wisdom decided to remove it keep ability from something that I had paid for. I don't like amazon for that autocratic change after I had paid for that Functionality,,Functionality and Features
Nick,3.0 out of 5 stars,Good free app,"App works exactly as described, and its free so can't really complain. GUI is a bit confusing though.",,User Interface and UX
Jae Ar,1.0 out of 5 stars,Not compatible,"I don't know if it is the app or the TV, but not compatible between a Fire Tablet and a Fire TV.",,Compatibility and Device Issues
Jeff,1.0 out of 5 stars,Paid app. (Trick involved),"If you download it free, when you download on the other platform, that's when they make you pay. Furthermore, it isn't even worth it. It's pretty much like chromecast, or mirroring.",,Compatibility and Device Issues
Alan Berkson,1.0 out of 5 stars,DidnÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t work,It didnÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t show up on a Mac or iPhone as a device to share to,,Compatibility and Device Issues
Rob,1.0 out of 5 stars,Only worked once,It worked the 1st time I downloaded the app in my fire stick. I tried using it again and it wouldnÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t connect. Keep telling me my device wasnÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t supported.,,Compatibility and Device Issues
Karen Rosen,1.0 out of 5 stars,negative stars,"Every single thing is wrong with this company. To start with terrible customer service. It is basically a call center and nearly impossible to get ahold of anyone live. Once you do they are of no help. There are hidden fees you will most definitely find yourself charged with. There are many other companies out there providing good, honest streaming options. Fubo Tv is the worst. Wish I could give it negative stars. You have been warned.",,Customer Support and Responsiveness
Jammer J,1.0 out of 5 stars,Confusing,"Lousy, confusing and unresponsive.",,Performance and Stability
D. M. Blackburn,1.0 out of 5 stars,Not functional,Not functional. It just keeps asking me to upgrade.,,Functionality and Features
Shefa P.,1.0 out of 5 stars,More like a toy,Not wide enough range of featured,,Functionality and Features
john,1.0 out of 5 stars,Scam - They change your billing and dummy cancel your subscription,"FuboTV is a scam. They updated my purchase by double charging me for the same service then when I tried to cancel they told me it was cancelled and merged the charges and then continued to charge me a higher rate and service while simultaneously locking me out of my account. When I tried to login the webpage said my account was deactivated and they then proceeded to charge me for 2 more months. The entire time I was complaining to customer service with receipts and confirmations that my account was cancelled yet I was still being charged. Customer service was useless taking days to respond via email and the phone line disconnected during multiple calls and when I asked for a refund they just replied with ""you have access to service until next month enjoy"". DO NOT GIVE GIVE THEM YOUR MONEY OR CARD INFO OR THEY'LL STEAL YOUR MONEY.",,Customer Support and Responsiveness
MLB_nomore,1.0 out of 5 stars,It tricks you into a month of service,"BE AWARE! I attempted to try the free week trial. Once I set up the trail period, I canceled, so I wouldn't get charged for a month and continue with the free week. Fubo, instead, wouldn't allow me to try the free week trial. I selected the trial again, but now was automatically signed up for a month ($77). Be aware that Fubo's user interface is tricky and will have you signing up for a month that you probably don't even want. I called customer service and they wouldn't reverse the charges.",,User Interface and UX
Shaun V.,1.0 out of 5 stars,Be careful when/if you cancel your subscription.,"I had Fubo for the 2021/22 hockey season. It was a decent streaming service, but no longer became worth the price when they increased the cost dramatically. I accidently ""paused"" the service at the end of the hockey season instead of canceling it and during the off season I found cheaper ways to watch hockey (NESN) so I decided not to restart the service. Little did I know they would restart the service 6 months later without any notice and charged me $80. I called customer service and they said there was nothing they could do and refused any sort of refund. I'm sure they have the terms written and I honestly just screwed up when pausing instead of canceling, but restarting the service without some kind of notice and charging me 6 months later has certainly put me off the service permanently. A simple heads up email before restating the service and charging me would have been a much more honest business approach.",,Customer Support and Responsiveness
Amalia Marshall,1.0 out of 5 stars,"Terrible streaming, and user interaction  terrible","The streaming is so slow, on Comcast, Xfinity. In addition to that IÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢m supposed to learn new toggles, supposed to your typical back and forward, stop toggles. Terrible platform. The only reason I paid for this platform was because I wanted to watch Yellowstone.I will not sign up. I should not be the one intuitive one, but it should be the platform making it easy for the user.",,Performance and Stability
Kiki,1.0 out of 5 stars,Buyer Beware... PERIOD,"I signed up for the free trial, to see if it was worthwhile for my husband (he watches every sport imaginable).  The first game he watched was Notre Dame, and the app had a picture delay... so we heard the play well before we saw the play.  We tried everything to fix it, to no avail.  I called customer service & they told me that there was no problem with their app & I should ""just watch something else"".  I'm sure you can guess how that comment went over with a diehard ND fan... The next day he tried again, only this time I could not even get the app to load.  So I called customer service AGAIN, except this time I was not nearly as friendly.  I told them that I wanted the subscription cancelled & my credit card information destroyed.  They told me that I had to request cancellation via email... WHICH I DID!!  Fast forward two weeks.  They charged my credit card for the subscription, which I cancelled over the phone AND by email.  I AGAIN called customer service and was told that I had not cancelled the subscription, but that they would ""see if they could refund the money"".  It wasn't ling before they told me that they would not refund the money AND I had to go through the cancellation process again.  I disputed the charge with my credit card and informed my credit card company that if they attempted to charge my card again it was fraud & I wanted to press charges.  They are currently fighting with my credit card company... so, the only thing I can say about Fubo TV is BUYER BEWARE!!!  It is not worth the headache for the crappy service they provide.",,Customer Support and Responsiveness
TT1,1.0 out of 5 stars,"If you thought cable was bad, wait til you try fubo!","Oh where to start.....World Cup France v Morocco, oops, Fubo not available.  What???  Customer service, after an hour wait, suggested I watch on Fox streaming for free.  Fox only allows 60 minutes before you need to use your tv subscriber info, which didn't work with fubo.  ha ha...TV app is worthless.  Buffering with 1000mbps and new tv?  Will not rewind or fast forward on recorded shows.  You can watch on your big screen if you stream from iPhone to tv.  It isn't perfect though.Nevertheless, I imagine the slugs who took the company public are laughing all the way to the bank.I suggest shorting the stock (which would have been a great idea earlier in the year as the stock price is hovering around $2 and some change), you may be able to make back some of your subscription fees!Lastly, I do feel sorry for the customer service reps.  I am sure they get an earful daily.  I have had some nice ones in all fairness.All the best,FubismalPS: can't wait to I see my credit card continue to get charged after I cancel, which I have yet to experience, but the majority of reviews seem to allude to Fubo's inability to cancel accounts. Should be more fun!",,Customer Support and Responsiveness
number1gmb,1.0 out of 5 stars,"Ok when it works, but...","Content is fine and when it works it's OK, slow to load channels. Problem is, it's unreliable and down too often. Slow to fix issues. Been down 2 hours so far today and no eta on a fix.",,Performance and Stability
DiverJim,2.0 out of 5 stars,Good except for certain times,"Overall, the service is not bad, and they do provide a nice list of channels. However, where they really fail is the ability to watch what you have saved on their Cloud DVR.  During the day, the system response is pretty good, but at about 8:00 PM (Eastern US time) through 11:00 PM, the ability to view saved shows is virtually impossible!  The system gives you the spinning wheel repeatedly, which indicates the streaming servers are not able to keep up with demand.  This happens every single week night!  And what's worse is that support does not respond to requests for help!",,Customer Support and Responsiveness
