Profile_Name,Rating_Star,Headings,Base_Reviews,category
Michael Johnston,1.0 out of 5 stars,problematic,Skype worked great until the latest update. Beeps every time the video has a glitch. Beeps everytime I switch between landscape and portrait mode. Very annoying to me and the person on the other end. Only stopped beeping after I turned the sound all the way down. Then I can hardly hear the conversation. Crashes all the time. No way to revert back to the previous version. If it weren't free I'd want my money back.,Performance and Stability
Jennifer Perry,1.0 out of 5 stars,Awful,"This app is a nightmare. It crashes often, and periodically it decides to stop working completely so I have to re-install it. What a headache.",Performance and Stability
January,1.0 out of 5 stars,fix please,Every time I call someone the camera freezes and the call drops. Please fix this problem,Performance and Stability
Dan Smith,1.0 out of 5 stars,Skype crashing when rotating the kindle,"Skype crashes when the kindle rotates. If I'm not in the proper rotation Skype wants when starting, it stops loading at the blue screen. Bugs like this should be caught long before they get released to users.",Performance and Stability
Pie dude,2.0 out of 5 stars,Worked good until the new update,It worked good on kindle fire hd then ever since the new update it keeps crashing. Plz fix then i will rate 5 stars.,Performance and Stability
Adriana,1.0 out of 5 stars,TERRIBLE APP,"Seriously this new update sucks. The connection, the way it's now functioned its just really terrible now. Thanks. Just thanks man.",Functionality and Features
jess,1.0 out of 5 stars,sucks,App crashes and freezes . I cannot adjust the volume at all. About to delete !! I do love skype but this update on Dec 27 made it suck !!!!!!!!,Performance and Stability
AP,1.0 out of 5 stars,Keeps crashing,"Every time I open Skype on my Kindle, it keeps crashing. I need to restart the programme a few times before I can actually start using it.",Performance and Stability
Emily,1.0 out of 5 stars,Works once in a blue moon ...,This app works once in a blue moon. I am sad to say that I regret this app more than any app I have spent money on. Drops calls constantly and freezes my kindle.,Performance and Stability
Selorm!,1.0 out of 5 stars,not good enough,It's so slow...don't work properly on kindle ! Something gotta be done better to the next version! I really really hate it right about now!!!.,Performance and Stability
Firsttimedad,1.0 out of 5 stars,Never used,To do not need skype this is why I am removing it from my kindle. Not Useful to me at all.,Functionality and Features
daniella paig,1.0 out of 5 stars,please fix it!,"This app needs serious work. It should not only work for certain devices, it's not fair! I have the new kindle fire HDX 7&#34; and I very disappointed. The person I call can see me fine but I can't see her. The video and the audio are not in sync with each other so as I talk the action follows10 seconds  later. It's annoying. Please fix this app. I rather just have the Google play store apps",Compatibility and Device Issues
Briana Kim,1.0 out of 5 stars,SKYPE NEEDS NEW CREATORS!!!,"I am very disappointed in this new update that Skype has put out. While the previous version had its cons, at least I could talk to family members. Since the new update on my flawless KFHD 7"", I can't see and usually hear any conversation and the screen turns black and says,"" Skype not responding"" and crashes. I am very upset and will be emailing them when I get the chance. New updates with SOLUTIONS to problems not an addition of problems is the proper way to go. Clearly, Skype needs to seriously reconsider their horrendous updates that they release.",Performance and Stability
Skye,1.0 out of 5 stars,please for the love of god don't use this app.,"I've had my kindle fire hd for around a year now and the skype app has always been terrible. It crashes a lot for no reason and the volume controls are ridiculous. With every update it gets worse and the most recent one is a train wreck. Constantly crashing and freezing, webcam function freezese and doesn't work. It's beyond frustrating.",Performance and Stability
jbooe,1.0 out of 5 stars,crash,Keeps crashing.,Performance and Stability
Claudia Coalbrooke,2.0 out of 5 stars,I need Skype to work on my Kindle Fire HD,I purchased a Kindle Fire HD 2 days ago. Skype as a feature of the product was an important incentive for this purchase however I have not been able to get Skype to work on the Kindle.  I keep getting an error message that my skype name and user id are not a match.  It works fine on my laptop.  I am disappointed that I cannot get Skype to work on the Kindle.  Am I missing a step in the set up.  Please help me!!! I was looking forward to having a great experience with the Kindle.  Thanks.,Functionality and Features
raja,2.0 out of 5 stars,crashes everytime i tilt the kindle,The app is very very unstable and crashes for various reasons.crashes when the orientation is changed.screen changes are not user friendly.,Performance and Stability
Vincent,1.0 out of 5 stars,Horrible App!!!,This is the worst app ever! It crashes every time I use it and it can't even send messages. My friends can never receive my IM but Skype does work on my computer. I definitely do not recommend this to anyone. It's very frustrating and useless.,Performance and Stability
Bryan,1.0 out of 5 stars,No group video chat with Kindle Fire HD and Skype...,"I am giving this app 1 measly star because I can't give it 0 stars. I have been reading online and it appears Amazon/Skype has removed the group video chat capability of Skype with Kindle. I recently signed up for Skype Premium so I could group chat with my sons who live in different states. They both have Kindle Fire HD's. What a waste of $10?! At least I didn't pay for the whole year up front, I guess. Many of the reviews about Skype I have read were posted by folds who signed up for the entire year! After about 30 minutes of trying and having various issues, we gave up and I started doing some researching. We also had various other issues with Skype when trying to video chat one-on-one. Everything from the video freezing, dropping calls, slow video, and the app crashing. I will not be renewing my Skype membership unless this issue is fixed ASAP.",Performance and Stability
Loryn Kirkhart,2.0 out of 5 stars,video calls,When they or I try to call then presses the green phone to answer it freezes every time we try on my kindle fire HD 7&#34; PLEASE FIX,Performance and Stability
Ollie,1.0 out of 5 stars,Awful get oovoo!!!!!!,I think that this kindle should have oovoo instead of Skype. First of all its too slow and most of the time I have to turn on my camera.,Performance and Stability
Solaris,1.0 out of 5 stars,New Updates,"So got my kindle for Christmas and was happy that it came with this app cause I finally had a mobile Skype. Didn't enjoy the fact that if I had my keyboard up in the IMs that I couldn't see if someone was messaging me, from what my sister says she has the same problem on her phone. I learned to deal with it, simply close the keyboard randomly to check if that orange ""1"" is flashing. Most annoying was that even if I signed out Skype would still display me as online causing me to uninstall the app whenever I didn't want to appear online.Fast forward to today and I download Skype to find it has a new update,and a crappy one at that. Now it has ""tablet mode"" and ""smart phone mode"" which are supposed to be ""optimized"" for that type of device. Which is an outright lite given that I'm on a kindle and using the smartphone mode because it's the only one that flips with the screen. Why they removed the screen matching the position of the tablet but kept it for the phone is beyond me.While a complete and utter bell/whistle they even removed the profile picture that appears next to the person's name while in chat.",Compatibility and Device Issues
